,Unnamed: 0,District,Mandal,Village,Latitude,Longitude,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,ndvi,arvi,evi,gci,ndwi
22,22,Anantapur,Penukonda,Gonipeta,14.06,77.64,Mixed soil,8.65,0.11,0.15,1.72,62,1658,131,12.31,0.27,0.27,2.96,0.45,6.29,G.Nut,0.10937934873364877,-0.0834603013373963,0.15748978119740323,0.840258541089566,-0.2958387516254877
23,23,Anantapur,Penukonda,Gonipeta,14.06,77.64,Red soil,6.8,0.07,0.15,1.46,66,1022,225,8.72,0.22,0.16,9.67,0.78,11.86,G.Nut,0.10937934873364877,-0.0834603013373963,0.15748978119740323,0.840258541089566,-0.2958387516254877
24,24,Anantapur,Penukonda,Gonipeta,14.06,77.64,Red soil,6.01,0.08,0.22,3.4,57,318,70,3.75,0.78,0.18,7.12,0.35,13.23,G.Nut,0.10937934873364877,-0.0834603013373963,0.15748978119740323,0.840258541089566,-0.2958387516254877
25,25,Anantapur,Penukonda,Gonipeta,14.06,77.65,Red soil,8.4,0.14,0.39,11.51,117,2748,274,3.05,0.32,0.66,2.51,0.82,3.56,G.Nut,0.18659987476518472,-0.03136165144898769,0.2659764369867904,1.1983758700696057,-0.37468262604280017
26,26,Anantapur,Penukonda,Gonipeta,14.06,77.65,Mixed soil,8.23,0.08,0.24,2.23,112,2179,63,2.06,0.25,0.31,2.47,0.85,5.26,G.Nut,0.18659987476518472,-0.03136165144898769,0.2659764369867904,1.1983758700696057,-0.37468262604280017
27,27,Anantapur,Penukonda,Gonipeta,14.07,77.65,Red soil,7.03,0.07,0.20,3.29,117,859,128,4.55,0.27,0.26,6.06,0.81,9.03,G.Nut,0.1543026706231454,-0.03982973548190939,0.2431800467653936,0.85828025477707,-0.3002785515320334
28,28,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.51,0.18,0.20,6.86,79,1087,167,5.36,0.37,0.48,1.89,0.36,3.29,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
29,29,Anantapur,Penukonda,Kondampalli,14.13,77.66,Redsoil,5.31,0.06,0.22,2.98,75,394,66,4.67,0.29,0.25,10.26,0.41,14.88,G.Nut,0.14793794930003784,-0.03946457419801523,0.24174601211821442,0.79739336492891,-0.28504870817450234
30,30,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,8.3,0.1,0.26,7.57,89,2276,203,2.77,0.31,0.38,3.72,0.57,2.59,G.Nut,0.16319333119589613,-0.06934343951654205,0.20480424898402605,1.3558441558441556,-0.4040247678018576
31,31,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,8.15,0.13,0.32,11.18,96,2561,151,3.60,0.49,0.41,4.06,0.56,4.26,G.Nut,0.16319333119589613,-0.06934343951654205,0.20480424898402605,1.3558441558441556,-0.4040247678018576
32,32,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.2,0.31,0.36,10.72,86,1965,213,28.03,0.36,0.53,9.02,0.73,8.31,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
