,Unnamed: 0,District,Mandal,Village,Latitude,Longitude,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,ndvi
826,1040,Guntur,Sattenapalli,Bhatluru,16.47,80.2,Black soil,7.78,0.71,0.62,46.5,306,8567,493,21.22,1.35,1.29,6.41,1.85,6.87,Cotton,0.013989855918889113
827,1041,Guntur,Sattenapalli,Bhatluru,16.48,80.2,Black soil,7.98,0.42,0.62,29.3,341,7125,348,11.87,1.65,1.01,3.07,3.0,8.74,Cotton,0.013551018953484291
828,1042,Guntur,Sattenapalli,Bhatluru,16.48,80.2,Black soil,8.06,0.43,0.57,26.6,188,7787,594,38.19,0.71,1.03,7.71,2.4,8.84,Chilli,0.013551018953484291
829,1043,Guntur,Sattenapalli,DD Palem,16.46,80.17,Black soil,7.96,0.29,0.55,13.6,193,6876,377,11.15,0.4,0.89,3.96,1.16,5.07,Chilli,0.01463630698821319
830,1044,Guntur,Sattenapalli,DD Palem,16.46,80.17,Black soil,8.04,0.3,0.58,18.5,210,6222,555,24.87,0.61,0.94,17.48,1.72,7.07,Chilli,0.01463630698821319
831,1045,Guntur,Sattenapalli,DD Palem,16.46,80.16,Black soil,8.18,0.38,0.66,31.2,237,4334,325,19.38,0.64,1.12,4.68,1.91,4.65,Chilli,0.013811443829391026
832,1046,Guntur,Sattenapalli,DD Palem,16.46,80.17,Black soil,8.12,0.43,0.53,8.7,122,970,111,40.53,0.61,0.87,9.75,1.86,4.41,Chilli,0.01463630698821319
833,1047,Guntur,Sattenapalli,DD Palem,16.47,80.17,Black soil,7.98,0.36,0.60,16.9,224,5194,469,11.02,0.44,0.99,12.25,1.72,6.5,Cotton,0.01457089411156851
834,1048,Guntur,Sattenapalli,DD Palem,16.46,80.17,Black soil,8.14,0.32,0.41,6.1,128,7387,529,23.86,0.43,0.81,7.52,1.39,4.63,Cotton,0.01463630698821319
835,1049,Guntur,Sattenapalli,DD Palem,16.47,80.17,Black soil,8.4,0.63,0.69,21.6,156,3897,496,65.28,0.87,1.56,20.11,2.4,9.29,Cotton,0.01457089411156851
836,1050,Guntur,Sattenapalli,DD Palem,16.46,80.17,Black soil,8.25,0.48,0.56,37.8,146,6292,753,59.09,0.72,1.63,28.0,2.55,6.91,Paddy,0.01463630698821319
837,1051,Guntur,Sattenapalli,DD Palem,16.47,80.16,Black soil,8.25,4.21,0.22,1.8,190,5670,962,528.10,0.22,4.87,7.59,1.35,3.24,Paddy,0.01379422401887041
838,1052,Guntur,Sattenapalli,DD Palem,16.46,80.17,Black soil,8.26,0.49,0.48,21.9,240,5322,769,24.79,0.32,1.50,7.89,1.28,5.7,Paddy,0.01463630698821319
839,1053,Guntur,Sattenapalli,Gudipudi,16.75,80.38,Black soil,8.25,0.27,0.46,11.5,245,7919,731,15.53,0.5,1.16,3.04,1.96,6.79,Cotton,0.03270220080538512
840,1054,Guntur,Sattenapalli,Gudipudi,16.7,80.38,Black soil,8.23,0.63,0.54,20.6,150,6523,796,59.48,1.85,2.50,4.6,2.73,7.16,Chilli,0.024931693167796393
841,1055,Guntur,Sattenapalli,Gudipudi,16.69,80.39,Black soil,8.35,0.25,0.37,9.9,228,7043,832,12.11,0.46,1.19,3.13,1.5,4.57,Chilli,0.026813278319047774
842,1056,Guntur,Sattenapalli,Gudipudi,16.68,80.38,Black soil,8.18,0.38,0.42,15.1,252,6760,990,23.30,0.85,1.39,5.92,1.2,5.25,Chilli,0.02777645304361612
843,1057,Guntur,Sattenapalli,Gudipudi,16.69,80.39,Black soil,8.21,0.34,0.27,8.0,123,7162,1129,21.84,0.64,1.03,7.86,1.1,3.9,Cotton,0.026813278319047774
844,1058,Guntur,Sattenapalli,Gudipudi,16.7,80.39,Black soil,8.28,0.36,0.32,4.1,107,7545,651,26.17,0.41,1.11,5.92,1.3,6.2,Chilli,0.027127188086244407
845,1059,Guntur,Sattenapalli,Gudipudi,16.71,80.37,Black soil,8.23,0.35,0.47,10.5,218,6805,736,20.58,4.11,1.31,4.12,4.87,4.25,Cotton,0.028590484784132078
846,1060,Guntur,Sattenapalli,Gudipudi,16.71,80.37,Black soil,8.5,0.38,0.35,8.0,238,5082,740,32.12,0.35,1.73,8.37,1.7,7.15,Chilli,0.028590484784132078
847,1061,Guntur,Sattenapalli,Gudipudi,16.71,80.38,Black soil,8.48,0.31,0.18,4.0,116,6178,1184,17.42,0.52,0.87,5.99,1.03,4.05,Cotton,0.029213278370647872
848,1062,Guntur,Sattenapalli,Gudipudi,16.7,80.39,Black soil,8.16,0.49,0.30,12.1,187,7379,870,24.52,0.36,0.95,2.35,1.05,6.0,Cotton,0.027127188086244407
849,1063,Guntur,Sattenapalli,Gudipudi,16.71,80.38,Black soil,8.21,0.44,0.47,10.8,275,6447,745,22.13,0.44,1.07,1.76,1.0,4.28,Chilli,0.029213278370647872
850,1064,Guntur,Sattenapalli,Gudipudi,16.68,80.4,Black soil,8.25,0.24,0.42,24.1,245,6652,1246,14.97,0.54,1.12,7.76,1.38,7.23,Paddy,0.026613743786338132
851,1065,Guntur,Sattenapalli,Gudipudi,16.69,80.37,Black soil,8.2,0.42,0.42,13.3,286,7009,810,28.08,0.73,1.37,2.7,1.32,7.74,Chilli,0.025801065022085328
852,1066,Guntur,Sattenapalli,Gudipudi,16.7,80.37,Black soil,8.51,0.38,0.38,8.0,286,5821,778,27.77,0.58,1.72,4.08,1.55,11.81,Chilli,0.025780291253423793
853,1067,Guntur,Sattenapalli,Gudipudi,16.69,80.38,Black soil,8.16,0.45,0.32,7.1,160,7083,908,37.43,0.62,1.02,2.6,1.06,2.18,Chilli,0.026127130048123223
854,1068,Guntur,Sattenapalli,Gudipudi,16.72,80.38,Black soil,8.26,0.31,0.55,27.2,297,6660,757,21.40,1.62,1.58,7.23,1.79,11.04,Chilli,0.031323530433514275
855,1069,Guntur,Sattenapalli,Gudipudi,16.24,80.38,Black soil,8.4,0.21,0.36,6.8,137,7333,944,19.68,0.37,1.36,2.98,1.25,3.51,Chilli,0.15915431782833667
856,1070,Guntur,Sattenapalli,Gudipudi,16.69,80.39,Black soil,8.31,0.31,0.36,17.3,151,6377,1162,38.21,0.68,1.01,12.89,1.91,4.72,Chilli,0.026813278319047774
857,1071,Guntur,Sattenapalli,Gudipudi,16.69,80.4,Black soil,8.1,3.1,0.45,20.1,291,5823,925,166.50,2.36,1.83,2.82,1.48,6.05,Chilli,0.02585438645095985
858,1072,Guntur,Sattenapalli,Gudipudi,16.7,80.39,Black soil,8.36,0.36,0.29,11.8,158,6772,1207,21.06,0.47,1.15,5.93,1.29,5.85,Cotton,0.027127188086244407
859,1073,Guntur,Sattenapalli,Gudipudi,16.72,80.36,Black soil,8.13,0.27,0.51,16.2,219,8018,581,15.78,0.93,1.03,4.32,1.55,7.72,Chilli,0.03676859095214158
860,1074,Guntur,Sattenapalli,Gudipudi,16.71,80.38,Black soil,8.56,1.18,0.50,20.8,223,5124,1018,270.07,0.73,5.02,19.42,2.32,8.59,Paddy,0.029213278370647872
861,1075,Guntur,Sattenapalli,Gudipudi,16.7,80.39,Black soil,8.05,0.52,0.33,9.3,165,8231,1061,29.27,0.54,0.91,2.4,1.27,6.22,Paddy,0.027127188086244407
862,1076,Guntur,Sattenapalli,Gudipudi,16.71,80.38,Black soil,8.12,0.51,0.48,12.5,221,7936,759,32.88,0.86,1.23,2.83,1.35,4.96,Chilli,0.029213278370647872
863,1077,Guntur,Sattenapalli,Gudipudi,16.72,80.36,Black soil,8.48,0.31,0.54,24.1,212,6050,1066,36.49,0.58,1.94,24.91,2.57,10.42,Paddy,0.03676859095214158
864,1078,Guntur,Sattenapalli,Gudipudi,16.72,80.34,Black soil,8.23,0.28,0.44,13.0,172,6016,631,19.76,0.63,1.10,3.09,1.36,6.01,Cotton,0.03386971625639675
865,1079,Guntur,Sattenapalli,Gudipudi,16.71,80.35,Black soil,8.17,0.52,0.46,11.4,198,13304,1138,35.76,0.59,1.01,6.02,1.83,5.61,Chilli,0.03534690298715935
866,1080,Guntur,Sattenapalli,Gudipudi,16.72,80.38,Black soil,8.3,0.19,0.38,7.7,183,7577,657,11.98,0.45,0.96,2.18,1.62,8.86,Cotton,0.031323530433514275
867,1081,Guntur,Sattenapalli,Gudipudi,16.69,80.39,Black soil,8.05,1.51,0.38,8.3,154,7485,856,162.59,0.58,2.09,3.39,1.69,7.43,Cotton,0.026813278319047774
868,1082,Guntur,Sattenapalli,Gudipudi,16.72,80.38,Black soil,8.24,0.23,0.36,7.6,159,7961,671,12.84,0.43,0.84,2.54,1.47,7.38,Chilli,0.031323530433514275
869,1083,Guntur,Sattenapalli,Gudipudi,16.71,80.37,Black soil,8.15,0.31,0.42,7.6,190,7236,709,22.05,0.82,1.13,5.17,1.59,11.65,Chilli,0.028590484784132078
870,1084,Guntur,Sattenapalli,Gudipudi,16.71,80.38,Black soil,8.21,0.34,0.44,12.0,252,7419,689,27.93,0.46,1.12,3.77,1.64,7.29,Chilli,0.029213278370647872
871,1085,Guntur,Sattenapalli,Gudipudi,16.72,80.36,Black soil,8.28,0.33,0.36,11.1,155,7395,885,20.91,0.45,1.20,1.31,0.97,3.79,Chilli,0.03676859095214158
872,1086,Guntur,Sattenapalli,Gudipudi,16.72,80.36,Black soil,8.12,1.46,0.37,12.6,210,7040,745,113.43,0.84,1.44,1.3,1.09,4.89,Chilli,0.03676859095214158
873,1087,Guntur,Sattenapalli,Kattamuru,16.47,80.19,Black soil,8.65,0.34,0.25,2.0,152,5777,738,17.88,0.22,0.93,3.44,0.87,5.05,Chilli,0.013434112519041535
874,1088,Guntur,Sattenapalli,Kattamuru,16.49,80.15,Black soil,8.24,0.18,0.48,17.7,193,3180,186,16.19,0.45,0.81,2.64,2.46,5.43,Chilli,0.013227530620128762
875,1089,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,8.02,0.44,0.44,12.6,161,7194,522,23.23,1.32,1.02,2.0,1.54,4.16,Cotton,0.013446933468094566
876,1090,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,8.58,0.13,0.23,12.4,98,2731,139,6.87,0.29,0.48,1.67,0.93,4.14,Chilli,0.013446933468094566
877,1091,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,8.4,0.18,0.37,6.4,189,6106,526,9.03,0.6,1.00,2.43,1.07,3.66,Chilli,0.013446933468094566
878,1092,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,7.97,0.6,0.49,9.9,152,6565,407,21.68,0.51,1.09,2.58,1.43,4.78,Chilli,0.013446933468094566
879,1093,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,8.3,0.17,0.37,3.8,104,5969,237,12.62,0.18,0.75,1.79,1.13,4.65,Chilli,0.013446933468094566
880,1094,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,8.18,0.29,0.47,8.6,162,5504,508,26.78,0.77,1.02,4.17,1.61,4.78,Chilli,0.013446933468094566
881,1095,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,8.3,0.16,0.53,9.6,162,6301,498,7.52,0.68,0.81,3.62,2.7,6.27,Chilli,0.013446933468094566
882,1096,Guntur,Sattenapalli,Kattamuru,16.49,80.15,Black soil,8.16,0.16,0.63,13.2,194,3957,282,9.36,0.85,1.01,6.17,2.76,5.99,Cotton,0.013227530620128762
883,1097,Guntur,Sattenapalli,Kattamuru,16.49,80.17,Black soil,8.06,0.48,0.49,10.7,117,4644,254,37.22,0.36,0.94,5.06,1.61,5.19,Chilli,0.014514070666026857
884,1098,Guntur,Sattenapalli,Kattamuru,16.49,80.17,Black soil,8.17,0.42,0.75,16.5,214,4402,293,36.62,1.35,1.30,3.21,2.32,4.91,Cotton,0.014514070666026857
885,1099,Guntur,Sattenapalli,Kattamuru,16.5,80.15,Black soil,8.03,0.39,0.74,25.2,252,3619,294,32.67,0.97,1.40,8.19,2.24,6.4,Chilli,0.012768424010451295
886,1100,Guntur,Sattenapalli,Kattamuru,16.5,80.18,Black soil,7.95,0.44,0.55,18.9,237,3706,205,40.16,1.26,1.23,7.77,2.13,5.99,Cotton,0.013787424776263425
887,1101,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,7.85,0.72,0.37,25.7,141,3851,184,45.59,0.5,0.75,3.08,1.8,6.79,Chilli,0.013446933468094566
888,1102,Guntur,Sattenapalli,Kattamuru,16.51,80.17,Black soil,7.23,1.42,0.39,43.1,224,4193,367,119.43,1.88,0.96,5.44,2.33,26.47,Cotton,0.014384810333348598
889,1103,Guntur,Sattenapalli,Kattamuru,16.5,80.17,Black soil,8.3,0.28,0.50,15.3,248,4761,775,13.46,1.33,0.87,1.98,3.68,5.21,Chilli,0.013446933468094566
890,1104,Guntur,Sattenapalli,Kattamuru,16.5,80.18,Black soil,8.12,0.33,0.45,14.3,233,7173,559,14.96,0.6,0.94,4.7,1.51,4.85,Cotton,0.013787424776263425
891,1105,Guntur,Sattenapalli,Kattamuru,16.5,80.18,Black soil,7.99,0.45,0.54,18.6,263,7256,483,27.26,0.75,0.84,2.32,1.49,4.68,Cotton,0.013787424776263425
892,1106,Guntur,Sattenapalli,Kattamuru,16.5,80.18,Black soil,8.0,0.44,1.23,23.0,185,7494,307,37.67,2.94,1.00,3.1,2.15,4.71,Chilli,0.013787424776263425
893,1107,Guntur,Sattenapalli,Kattamuru,16.48,80.18,Black soil,8.37,0.44,0.56,22.5,685,2618,171,32.23,3.74,0.98,2.44,3.71,8.95,Cotton,0.014465323068171193
894,1108,Guntur,Sattenapalli,Kattamuru,16.48,80.17,Black soil,8.75,0.28,0.34,6.1,215,4426,536,10.18,0.12,0.98,3.33,0.81,7.98,Cotton,0.013870239009380059
895,1109,Guntur,Sattenapalli,Kattamuru,16.48,80.17,Black soil,8.49,0.2,0.38,7.0,191,5265,568,7.65,0.21,0.90,5.33,1.39,7.45,Cotton,0.013870239009380059
896,1110,Guntur,Sattenapalli,Kattamuru,16.49,80.15,Black soil,9.32,1.22,0.46,7.5,127,2773,512,89.42,0.42,1.83,13.04,2.86,12.91,Chilli,0.013227530620128762
897,1111,Guntur,Sattenapalli,Kattamuru,16.49,80.15,Black soil,8.5,0.25,0.40,3.8,162,6017,819,10.34,0.24,0.79,5.79,1.18,4.88,Cotton,0.013227530620128762
898,1112,Guntur,Sattenapalli,Kattamuru,16.5,80.16,Black soil,8.51,0.41,0.52,13.7,214,5676,975,32.10,0.23,1.53,10.91,1.53,6.37,Chilli,0.013417286038687871
899,1113,Guntur,Sattenapalli,Kattamuru,16.5,80.16,Black soil,8.1,0.3,0.68,18.9,261,5572,269,19.24,0.45,0.81,2.01,2.57,4.7,Cotton,0.013417286038687871
900,1114,Guntur,Sattenapalli,Kattamuru,16.48,80.17,Black soil,7.85,0.71,0.68,23.7,286,5998,308,21.41,0.73,0.60,1.74,1.6,5.18,Chilli,0.013870239009380059
901,1115,Guntur,Sattenapalli,Kattamuru,16.49,80.16,Black soil,8.15,0.19,0.50,17.2,250,5475,265,10.74,1.22,0.63,3.15,1.9,5.44,Chilli,0.013253450611772544
902,1116,Guntur,Sattenapalli,Kattamuru,16.49,80.16,Black soil,8.16,0.28,0.42,28.8,183,2894,158,12.73,0.39,0.53,3.36,2.46,5.87,Cotton,0.013253450611772544
903,1117,Guntur,Sattenapalli,Nandigama,16.49,80.16,Black soil,8.01,0.53,0.64,31.8,167,6617,1080,46.55,0.84,1.48,25.47,2.81,7.59,Paddy,0.013253450611772544
904,1118,Guntur,Sattenapalli,Nandigama,16.68,80.33,Black soil,8.02,0.33,0.40,11.8,238,7862,930,18.58,1.87,1.33,11.01,1.89,8.74,Paddy,0.024811660896850097
905,1119,Guntur,Sattenapalli,Nandigama,16.67,80.37,Black soil,7.91,0.55,0.89,33.7,197,8050,1123,50.77,0.89,1.37,28.88,2.99,5.32,Paddy,0.025214484162587456
906,1120,Guntur,Sattenapalli,Nandigama,16.67,80.33,Black soil,8.32,0.46,0.56,13.7,171,6738,780,78.95,2.03,1.69,8.35,1.94,6.95,Paddy,0.025012694167971496
907,1121,Guntur,Sattenapalli,Nandigama,16.64,80.33,Black soil,7.88,0.61,0.56,25.5,285,8315,1150,45.66,0.72,1.22,8.21,1.49,5.8,Cotton,0.43136125014834403
908,1122,Guntur,Sattenapalli,Nandigama,16.67,80.36,Black soil,8.13,0.27,0.43,11.3,233,7600,1020,11.57,0.66,1.14,5.19,1.29,6.45,Cotton,0.025116612978804586
909,1123,Guntur,Sattenapalli,Nandigama,16.66,80.33,Black soil,8.07,0.47,0.42,8.1,222,7894,1028,61.94,0.41,0.97,12.23,1.78,6.99,Cotton,0.02629552259303835
910,1124,Guntur,Sattenapalli,Nandigama,16.66,80.31,Black soil,8.36,0.65,0.49,10.1,182,6933,1128,78.72,0.77,1.66,5.74,1.5,11.81,Cotton,0.02787482457785066
911,1125,Guntur,Sattenapalli,Nandigama,16.69,80.32,Black soil,8.3,0.41,0.56,18.5,322,7018,912,38.80,1.05,1.60,5.81,3.42,13.66,Cotton,0.029238884215751264
912,1126,Guntur,Sattenapalli,Nandigama,16.67,80.34,Black soil,8.25,1.17,0.52,15.7,293,5767,1126,259.67,1.07,3.55,16.67,2.58,8.48,Cotton,0.024264166065454906
913,1127,Guntur,Sattenapalli,Nandigama,16.66,80.36,Black soil,8.23,0.35,0.44,15.5,197,6578,1248,38.54,0.99,1.00,16.77,2.08,8.71,Paddy,0.025516908209871018
914,1128,Guntur,Sattenapalli,Nandigama,16.68,80.32,Black soil,8.12,0.37,0.59,29.8,237,6228,863,51.96,1.39,1.40,24.26,3.91,9.55,Vegetables,0.02555270678562701
915,1129,Guntur,Sattenapalli,Nandigama,16.69,80.32,Black soil,8.03,0.38,0.54,15.3,205,4798,490,25.31,0.55,1.22,6.19,1.99,8.77,Chilli,0.029238884215751264
916,1130,Guntur,Sattenapalli,Nandigama,16.67,80.36,Black soil,8.16,0.4,0.38,5.4,194,7562,1089,26.06,0.51,1.26,4.86,1.16,3.18,Chilli,0.025116612978804586
917,1131,Guntur,Sattenapalli,Nandigama,16.69,80.34,Black soil,8.01,0.29,0.78,47.1,262,7947,1063,36.08,1.69,1.07,34.59,3.58,10.89,Chilli,0.02827222325307603
918,1132,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,8.16,0.29,0.43,12.2,141,7770,813,11.75,0.77,1.08,5.89,2.11,4.5,Cotton,0.014299603502103379
919,1133,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,7.91,0.7,0.48,22.9,230,8045,786,29.22,1.06,1.00,3.83,1.78,9.93,Cotton,0.014299603502103379
920,1134,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,8.04,0.31,0.46,20.9,193,8752,584,26.24,0.82,0.89,3.97,1.54,5.66,Chilli,0.014299603502103379
921,1135,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,7.79,0.51,0.47,53.9,238,8970,604,30.37,1.4,1.04,4.74,2.84,11.34,Chilli,0.014299603502103379
922,1136,Guntur,Sattenapalli,Panidam,16.45,80.18,Black soil,8.07,0.32,0.59,48.2,305,7995,765,11.70,1.71,1.25,2.86,1.83,5.14,Cotton,0.013767661608033254
923,1137,Guntur,Sattenapalli,Panidam,16.45,80.18,Black soil,8.18,0.29,0.53,27.9,212,7975,879,12.30,1.34,1.13,4.32,2.95,7.31,Chilli,0.013767661608033254
924,1138,Guntur,Sattenapalli,Panidam,16.45,80.18,Black soil,8.27,0.26,0.46,17.9,249,7977,1046,15.93,1.34,1.27,3.54,1.5,6.24,Chilli,0.013767661608033254
925,1139,Guntur,Sattenapalli,Panidam,16.45,80.18,Black soil,8.05,0.31,0.46,13.9,214,8142,967,17.83,2.42,1.25,2.74,1.53,6.05,Chilli,0.013767661608033254
926,1140,Guntur,Sattenapalli,Panidam,16.45,80.18,Black soil,8.16,0.3,0.48,12.8,175,8284,1122,26.52,0.36,1.34,6.39,1.61,9.73,Chilli,0.013767661608033254
927,1141,Guntur,Sattenapalli,Panidam,16.45,80.18,Black soil,8.32,0.19,0.33,13.1,154,7069,990,11.61,0.57,1.05,2.6,1.43,4.15,Chilli,0.013767661608033254
928,1142,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,8.04,0.92,0.70,29.6,176,7316,1124,124.36,2.69,2.08,12.02,2.85,5.45,Cotton,0.014299603502103379
929,1143,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,8.05,0.29,0.50,15.3,170,8835,685,21.20,0.48,1.20,7.59,1.97,6.14,Cotton,0.014299603502103379
930,1144,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,7.98,0.59,0.45,25.9,173,9910,836,33.20,0.94,1.21,7.38,2.08,8.21,Chilli,0.014299603502103379
931,1145,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,8.16,0.29,0.48,14.3,138,7186,803,17.43,2.39,1.28,7.29,3.32,5.52,Cotton,0.014299603502103379
932,1146,Guntur,Sattenapalli,Panidam,16.46,80.18,Black soil,8.0,0.51,0.51,16.2,151,8433,568,37.36,0.68,1.17,4.5,1.52,11.97,Cotton,0.014299603502103379
933,1147,Guntur,Sattenapalli,Panidam,16.45,80.21,Black soil,8.12,0.41,0.58,23.7,129,4830,378,36.85,1.45,1.50,2.81,1.87,9.97,Chilli,0.014146496085427115
934,1148,Guntur,Sattenapalli,Panidam,16.45,80.2,Black soil,8.12,0.37,0.53,31.8,147,5078,383,15.30,3.37,1.30,3.2,2.05,9.77,Cotton,0.012975182362213322
935,1149,Guntur,Sattenapalli,Panidam,16.45,80.21,Black soil,8.05,0.57,0.90,44.0,271,5623,836,51.76,1.5,1.69,10.78,2.76,17.53,Chilli,0.014146496085427115
936,1150,Guntur,Sattenapalli,Panidam,16.45,80.21,Black soil,7.8,1.17,0.97,60.9,357,6243,491,192.80,1.73,2.24,4.31,3.92,38.51,Cotton,0.014146496085427115
937,1151,Guntur,Sattenapalli,Panidam,16.45,80.21,Black soil,8.14,0.31,0.59,35.3,196,6870,459,25.94,1.64,1.14,8.29,2.39,15.31,Cotton,0.014146496085427115
938,1152,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,7.97,0.95,0.82,42.7,652,6173,725,79.19,2.61,1.80,5.6,4.09,31.96,Cotton,0.013775380181725078
939,1153,Guntur,Sattenapalli,Panidam,16.46,80.22,Black soil,7.67,1.56,0.64,47.3,278,7995,637,65.33,1.73,1.44,10.61,2.43,19.9,Cotton,0.014079647482482707
940,1154,Guntur,Sattenapalli,Panidam,16.46,80.2,Black soil,8.23,0.28,0.49,16.9,210,7542,863,25.95,1.64,1.22,8.66,1.7,10.22,Cotton,0.014383163398231799
941,1155,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,7.56,5.45,0.58,62.0,368,9748,812,145.61,1.11,1.14,3.6,1.62,17.81,Cotton,0.013775380181725078
942,1156,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,7.93,1.95,0.69,15.7,186,8726,780,87.95,0.63,1.32,10.08,1.91,19.45,Chilli,0.013775380181725078
943,1157,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,7.7,2.94,0.55,37.3,258,9480,687,83.65,2.48,1.46,6.98,2.57,26.61,Cotton,0.013775380181725078
944,1158,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,7.82,2.22,0.49,36.7,228,8264,862,118.54,6.99,1.77,3.27,7.23,13.66,Chilli,0.013775380181725078
945,1159,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,8.17,0.74,0.52,19.9,331,7751,1070,36.68,1.24,2.08,7.37,2.01,26.5,Chilli,0.013775380181725078
946,1160,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,8.0,1.09,0.72,28.6,332,7834,1033,112.59,1.36,1.98,7.8,2.78,35.99,Chilli,0.013775380181725078
947,1161,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,7.5,5.29,1.15,48.3,322,6687,835,495.63,1.5,2.34,6.65,1.65,10.96,Chilli,0.013775380181725078
948,1162,Guntur,Sattenapalli,Panidam,16.46,80.21,Black soil,8.2,0.36,0.67,33.6,455,6756,490,16.40,3.28,1.47,5.24,4.21,17.96,Cotton,0.013775380181725078
949,1163,Guntur,Sattenapalli,Panidam,16.47,80.2,Black soil,7.64,2.9,0.73,48.6,319,8498,743,140.81,4.9,2.30,4.28,10.64,23.96,Cotton,0.013989855918889113
950,1164,Guntur,Sattenapalli,Panidam,16.47,80.2,Black soil,8.24,0.68,0.61,17.4,411,6240,615,56.60,0.41,2.69,10.82,2.05,16.93,Chilli,0.013989855918889113
951,1165,Guntur,Sattenapalli,Panidam,16.47,80.2,Black soil,7.64,2.9,0.66,44.2,367,6835,564,188.65,5.78,2.47,4.16,2.98,20.59,Cotton,0.013989855918889113
952,1166,Guntur,Sattenapalli,Panidam,16.47,80.21,Black soil,7.41,4.04,0.56,64.0,629,6374,370,175.76,1.07,1.14,5.53,5.66,28.16,Chilli,0.014043195666797171
953,1167,Guntur,Sattenapalli,Panidam,16.47,80.21,Black soil,7.69,2.21,0.63,43.9,487,6492,502,40.56,1.78,1.19,3.18,2.88,15.68,Chilli,0.014043195666797171
954,1168,Guntur,Sattenapalli,Panidam,16.47,80.2,Black soil,7.95,0.86,0.69,17.9,690,9965,740,95.45,0.81,1.22,8.77,1.83,21.54,Chilli,0.013989855918889113
955,1169,Guntur,Sattenapalli,Pedamakkena,16.74,80.39,Black soil,8.13,0.32,0.50,15.5,288,7641,1031,22.72,1.27,1.53,3.46,1.79,4.86,Cotton,0.03417310325912933
956,1170,Guntur,Sattenapalli,Pedamakkena,16.7,80.41,Black soil,8.28,0.39,0.47,8.8,178,7545,773,34.71,1.03,3.57,4.2,2.08,5.55,Cotton,0.023159720674595548
957,1171,Guntur,Sattenapalli,Pedamakkena,16.71,80.41,Black soil,8.21,0.47,0.49,14.9,240,6221,906,29.73,1.03,1.95,4.25,1.38,4.44,Chilli,0.02145512613833189
958,1172,Guntur,Sattenapalli,Pedamakkena,16.72,80.41,Black soil,7.8,0.83,0.53,11.3,241,7529,1096,30.72,1.62,1.42,4.21,1.57,6.01,Cotton,0.025231115298485693
959,1173,Guntur,Sattenapalli,Pedamakkena,16.71,80.4,Black soil,8.23,0.19,0.43,6.3,200,7259,804,9.37,0.63,0.96,3.76,1.55,3.39,Chilli,0.025736498169890498
960,1174,Guntur,Sattenapalli,Pedamakkena,16.75,80.39,Black soil,8.1,0.53,0.54,33.2,138,3484,802,36.03,1.95,0.99,5.23,1.77,11.07,Cotton,0.03133665833612257
961,1175,Guntur,Sattenapalli,Pedamakkena,16.74,80.42,Black soil,8.07,0.33,0.42,8.7,227,7176,913,18.45,0.33,1.02,5.35,1.31,5.34,Cotton,0.02910351120001164
962,1176,Guntur,Sattenapalli,Pedamakkena,16.74,80.39,Black soil,8.07,1.57,0.65,31.1,209,7238,1102,586.61,3.83,4.51,9.17,5.54,8.63,Cotton,0.03417310325912933
963,1177,Guntur,Sattenapalli,Pedamakkena,16.76,80.42,Black soil,8.25,0.46,0.44,11.2,308,7737,977,30.99,1.67,1.70,4.01,1.51,7.6,Cotton,0.031686129358229176
964,1178,Guntur,Sattenapalli,Pedamakkena,16.75,80.41,Black soil,7.78,1.8,0.58,11.4,304,7608,946,95.26,1.01,1.59,3.05,1.56,4.91,Chilli,0.03347433700887926
965,1179,Guntur,Sattenapalli,Pedamakkena,16.72,80.4,Black soil,8.45,0.44,0.47,11.2,324,6347,1031,29.11,0.61,1.93,4.24,1.25,8.08,Cotton,0.02412966378908313
966,1180,Guntur,Sattenapalli,Pedamakkena,16.64,80.32,Black soil,8.1,0.35,0.43,7.0,253,7170,762,11.01,0.73,1.07,4.94,1.11,4.57,Cotton,0.29124634785551234
