,Latitude,Longitude,District,Mandal,Village,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,NDVI,ARVI,EVI,GCI,NDWI,Crop
25,14.06,77.65,Anantapur,Penukonda,Gonipeta,Red soil,8.4,0.14,0.39,11.51,117.0,2748.0,274.0,3.05,0.32,0.66,2.51,0.82,3.56,0.0652241157760893,0.0358198235886304,0.2061101841506187,0.1784982990708055,-0.0819363958865335,G.Nut
26,14.06,77.65,Anantapur,Penukonda,Gonipeta,Mixed soil,8.23,0.08,0.24,2.23,112.0,2179.0,63.0,2.06,0.25,0.31,2.47,0.85,5.26,0.0652241157760893,0.0358198235886304,0.2061101841506187,0.1784982990708055,-0.0819363958865335,G.Nut
27,14.07,77.65,Anantapur,Penukonda,Gonipeta,Red soil,7.03,0.07,0.2,3.29,117.0,859.0,128.0,4.55,0.27,0.26,6.06,0.81,9.03,0.066636756810746,0.0367710303855314,0.206004558441825,0.1845609401260746,-0.0844842259769706,G.Nut
28,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.51,0.18,0.2,6.86,79.0,1087.0,167.0,5.36,0.37,0.48,1.89,0.36,3.29,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
29,14.13,77.66,Anantapur,Penukonda,Kondampalli,Redsoil,5.31,0.06,0.22,2.98,75.0,394.0,66.0,4.67,0.29,0.25,10.26,0.41,14.88,0.0871618174099351,0.0435840267574869,0.2051095414422914,0.2444604015587255,-0.1089172263359841,G.Nut
30,14.11,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.3,0.1,0.26,7.57,89.0,2276.0,203.0,2.77,0.31,0.38,3.72,0.57,2.59,0.0846975455706327,0.0429745642628917,0.2123206784548295,0.2454441427315619,-0.1093076144984757,G.Nut
31,14.11,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.15,0.13,0.32,11.18,96.0,2561.0,151.0,3.6,0.49,0.41,4.06,0.56,4.26,0.0846975455706327,0.0429745642628917,0.2123206784548295,0.2454441427315619,-0.1093076144984757,G.Nut
32,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.2,0.31,0.36,10.72,86.0,1965.0,213.0,28.03,0.36,0.53,9.02,0.73,8.31,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
33,14.13,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.57,0.16,1.41,14.39,93.0,2642.0,426.0,7.75,0.53,1.01,9.1,0.71,2.94,0.0898779299460716,0.0455794085386032,0.2184386456800156,0.2523817617909856,-0.112051059048846,G.Nut
34,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,9.02,0.44,0.56,8.78,117.0,2374.0,684.0,23.96,1.05,1.07,9.75,1.32,2.89,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
35,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,7.9,0.19,0.88,19.0,265.0,1925.0,444.0,8.36,0.97,1.13,2.48,1.2,10.55,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
36,14.11,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.71,0.35,0.32,3.61,84.0,1524.0,542.0,14.71,0.36,0.86,2.59,0.62,5.99,0.0846975455706327,0.0429745642628917,0.2123206784548295,0.2454441427315619,-0.1093076144984757,G.Nut
37,14.11,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,7.48,1.59,0.36,7.67,117.0,1398.0,244.0,81.35,0.55,0.43,2.53,0.52,11.4,0.0846975455706327,0.0429745642628917,0.2123206784548295,0.2454441427315619,-0.1093076144984757,G.Nut
38,14.11,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,5.2,0.09,0.16,16.32,103.0,166.0,35.0,5.03,0.42,0.25,9.67,0.37,8.03,0.0846975455706327,0.0429745642628917,0.2123206784548295,0.2454441427315619,-0.1093076144984757,G.Nut
39,14.12,77.64,Anantapur,Penukonda,Kondampalli,Redsoil,8.65,0.41,0.7,9.47,76.0,2380.0,711.0,26.26,1.06,1.11,7.15,0.79,3.53,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
40,14.12,77.64,Anantapur,Penukonda,Kondampalli,Redsoil,8.05,0.11,0.19,3.62,53.0,2915.0,124.0,3.44,0.49,0.29,1.34,0.34,1.86,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
41,14.13,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,6.2,0.04,0.15,2.66,76.0,384.0,86.0,2.31,0.29,0.23,4.16,0.51,6.77,0.0898779299460716,0.0455794085386032,0.2184386456800156,0.2523817617909856,-0.112051059048846,G.Nut
42,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.01,0.06,0.25,6.79,59.0,1150.0,158.0,2.3,0.28,0.36,4.18,0.48,3.67,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
43,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.5,0.16,0.39,7.22,70.0,1414.0,198.0,6.39,0.6,0.41,6.89,0.41,3.29,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
44,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.2,0.53,0.61,8.55,149.0,2693.0,590.0,38.65,0.58,0.91,7.88,1.0,4.36,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
45,14.12,77.64,Anantapur,Penukonda,Kondampalli,Redsoil,8.82,0.8,0.47,6.75,106.0,2108.0,655.0,83.3,0.29,1.42,5.24,0.74,1.83,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
46,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,6.5,0.05,0.22,4.19,108.0,517.0,98.0,3.02,0.32,0.36,4.74,0.45,5.84,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
47,14.13,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.78,0.5,0.48,3.69,123.0,2244.0,607.0,30.73,0.31,1.33,5.39,0.84,1.82,0.0898779299460716,0.0455794085386032,0.2184386456800156,0.2523817617909856,-0.112051059048846,G.Nut
48,14.13,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.81,0.52,0.5,4.01,129.0,2619.0,702.0,36.22,0.35,1.37,7.25,0.97,1.92,0.0898779299460716,0.0455794085386032,0.2184386456800156,0.2523817617909856,-0.112051059048846,G.Nut
49,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.07,0.5,0.91,28.68,140.0,2129.0,355.0,18.47,2.85,1.22,2.33,0.52,4.47,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
50,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.25,0.24,0.66,6.31,116.0,2894.0,566.0,14.7,0.46,1.02,16.77,1.17,4.12,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
51,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.0,0.65,0.41,13.32,89.0,1740.0,201.0,62.96,0.51,0.88,2.88,0.4,8.17,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
52,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.32,0.15,0.49,9.39,145.0,3009.0,466.0,4.64,0.3,0.74,11.14,1.17,3.65,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
53,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.44,0.07,0.17,3.51,37.0,831.0,130.0,2.25,0.13,0.25,3.1,0.2,6.99,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
54,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.22,1.32,0.53,4.74,82.0,4097.0,1135.0,93.97,0.4,1.0,9.41,1.13,1.84,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
55,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.35,0.53,0.34,5.15,114.0,3283.0,354.0,40.19,0.5,0.59,27.92,1.87,7.33,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
56,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.19,1.61,0.5,132.06,193.0,3104.0,1179.0,181.16,0.67,0.94,19.59,1.73,9.52,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
57,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.15,0.07,0.18,10.31,83.0,489.0,63.0,5.13,0.44,0.29,6.94,0.55,14.91,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
58,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,6.0,0.08,0.08,3.54,43.0,536.0,114.0,4.03,0.19,0.28,6.59,0.47,11.16,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
59,14.11,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.63,0.17,0.13,2.35,57.0,3544.0,133.0,3.23,0.1,0.41,0.79,0.51,1.8,0.0846975455706327,0.0429745642628917,0.2123206784548295,0.2454441427315619,-0.1093076144984757,G.Nut
60,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,7.28,0.08,0.27,6.99,53.0,608.0,109.0,4.3,0.86,0.36,3.99,0.52,10.34,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
61,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.57,0.22,0.1,2.51,54.0,3030.0,118.0,2.8,0.12,0.32,0.97,0.55,2.45,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
62,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.21,0.12,0.25,7.72,60.0,926.0,79.0,4.69,1.2,0.26,2.75,0.4,7.82,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
63,14.11,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.32,0.1,0.15,2.48,114.0,3142.0,105.0,2.2,0.16,0.28,3.21,0.87,6.7,0.0846975455706327,0.0429745642628917,0.2123206784548295,0.2454441427315619,-0.1093076144984757,G.Nut
64,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.21,0.36,0.41,14.95,94.0,2992.0,84.0,30.1,1.13,0.89,2.81,0.55,9.52,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
65,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.2,0.12,0.3,15.16,183.0,1167.0,148.0,3.02,0.47,0.64,1.91,0.33,3.48,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
66,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,7.95,0.09,0.19,4.66,43.0,820.0,123.0,3.26,0.2,0.23,1.45,0.24,3.75,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
67,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,5.62,0.04,0.14,4.39,70.0,295.0,78.0,2.08,0.49,0.17,8.61,0.54,8.11,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
68,14.11,77.65,Anantapur,Penukonda,Settipalli,Redsoil,5.86,0.03,0.14,5.31,44.0,451.0,67.0,1.79,0.27,0.19,8.34,0.38,7.05,0.0846975455706327,0.0429745642628917,0.2123206784548295,0.2454441427315619,-0.1093076144984757,G.Nut
69,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,5.55,0.05,0.23,9.05,64.0,243.0,24.0,3.9,0.49,0.19,7.98,0.31,5.31,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
70,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,6.18,0.04,0.18,3.13,50.0,930.0,124.0,2.14,0.23,0.2,7.0,0.39,10.49,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
71,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,6.85,0.04,0.13,4.65,58.0,788.0,63.0,1.44,0.2,0.2,4.03,0.36,7.46,0.0859996309261265,0.0426142761341584,0.2047048569731176,0.2515573526829995,-0.1117259359985828,G.Nut
72,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.35,0.09,0.22,8.34,68.0,1498.0,190.0,2.45,0.27,0.36,2.53,0.52,4.17,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
73,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.4,0.15,0.44,11.41,206.0,2882.0,305.0,6.35,0.36,0.7,2.52,0.43,4.69,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
74,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.56,0.14,0.46,11.54,122.0,3000.0,532.0,3.7,0.43,0.87,7.85,0.89,2.08,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
75,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.5,0.14,0.22,3.56,67.0,2678.0,455.0,3.31,0.24,0.54,3.06,0.71,2.35,0.0781881508411709,0.0393568041443135,0.2155548715351788,0.2176022253580749,-0.0981250031542238,G.Nut
76,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,6.0,0.08,0.19,4.73,80.0,657.0,84.0,5.66,0.26,0.2,13.15,0.92,14.97,0.0740636674183281,0.0396682968124543,0.211340087787922,0.210911954790814,-0.0953959086130906,Horsegram
77,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.88,0.2,0.24,2.33,54.0,2052.0,92.0,5.77,0.15,0.41,3.95,0.35,3.42,0.0667791924349991,0.0354850671381145,0.2039063120580444,0.1833415151553798,-0.0839728983682757,G.Nut
78,14.08,77.69,Anantapur,Penukonda,Settipalli,Mixed soil,6.6,0.2,0.39,2.56,66.0,1050.0,239.0,12.03,0.41,0.33,5.79,0.47,27.19,0.0667791924349991,0.0354850671381145,0.2039063120580444,0.1833415151553798,-0.0839728983682757,Horsegram
79,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,6.16,0.12,0.73,1.51,62.0,939.0,357.0,3.83,0.24,0.46,11.47,1.31,14.53,0.0667791924349991,0.0354850671381145,0.2039063120580444,0.1833415151553798,-0.0839728983682757,G.Nut
80,14.08,77.6,Anantapur,Penukonda,Settipalli,Redsoil,8.2,0.23,0.35,2.61,50.0,3486.0,144.0,5.46,0.23,0.45,1.73,0.84,4.94,0.0682162359786784,0.039113943734069,0.2144696211482685,0.18715449487092,-0.0855698558605781,G.Nut
81,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,8.34,0.14,0.2,3.24,60.0,1528.0,96.0,2.01,0.27,0.25,2.34,0.54,2.3,0.0737619254035317,0.0389998395783394,0.210483022597251,0.2122037528371614,-0.095924144674743,G.Nut
82,14.08,77.6,Anantapur,Penukonda,Settipalli,Redsoil,6.02,0.05,0.15,1.28,27.0,727.0,157.0,3.11,0.14,0.24,6.65,0.31,16.95,0.0682162359786784,0.039113943734069,0.2144696211482685,0.18715449487092,-0.0855698558605781,G.Nut
83,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,7.82,0.22,0.43,3.38,63.0,2322.0,161.0,5.58,0.31,0.53,2.27,1.09,9.11,0.0737619254035317,0.0389998395783394,0.210483022597251,0.2122037528371614,-0.095924144674743,Horsegram
84,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,8.37,0.14,0.16,2.14,44.0,1650.0,63.0,2.06,0.14,0.25,1.49,0.4,3.66,0.0737619254035317,0.0389998395783394,0.210483022597251,0.2122037528371614,-0.095924144674743,Horsegram
85,14.08,77.69,Anantapur,Penukonda,Settipalli,Mixed soil,8.62,0.19,0.13,2.0,65.0,3913.0,335.0,3.65,0.17,0.35,1.26,0.6,2.85,0.0667791924349991,0.0354850671381145,0.2039063120580444,0.1833415151553798,-0.0839728983682757,G.Nut
86,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.2,0.13,0.17,3.99,50.0,1382.0,104.0,2.32,0.18,0.29,2.09,0.46,2.67,0.0667791924349991,0.0354850671381145,0.2039063120580444,0.1833415151553798,-0.0839728983682757,Horsegram
87,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.28,0.15,0.11,1.36,23.0,2474.0,52.0,3.31,0.11,0.21,2.01,0.33,1.63,0.0740636674183281,0.0396682968124543,0.211340087787922,0.210911954790814,-0.0953959086130906,G.Nut
88,14.09,77.69,Anantapur,Penukonda,Settipalli,Sandy soil,8.04,0.23,0.45,1.39,55.0,3003.0,187.0,6.66,0.14,0.33,2.93,0.49,6.1,0.0740636674183281,0.0396682968124543,0.211340087787922,0.210911954790814,-0.0953959086130906,Horsegram
89,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.27,0.3,0.45,1.18,56.0,1911.0,164.0,9.04,0.2,0.26,6.6,0.8,16.86,0.0740636674183281,0.0396682968124543,0.211340087787922,0.210911954790814,-0.0953959086130906,G.Nut
90,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,8.22,0.22,0.21,1.73,61.0,3204.0,202.0,4.96,0.26,0.27,2.66,0.66,6.66,0.0737619254035317,0.0389998395783394,0.210483022597251,0.2122037528371614,-0.095924144674743,Horsegram
91,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.33,0.27,0.29,3.13,53.0,2277.0,90.0,6.78,0.28,0.29,7.3,0.61,13.57,0.0740636674183281,0.0396682968124543,0.211340087787922,0.210911954790814,-0.0953959086130906,Horsegram
92,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,8.3,0.17,0.25,9.22,68.0,1964.0,59.0,2.02,0.46,0.33,3.19,0.53,6.69,0.0737619254035317,0.0389998395783394,0.210483022597251,0.2122037528371614,-0.095924144674743,Horsegram
93,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,5.8,0.06,0.1,6.04,43.0,462.0,38.0,3.97,0.22,0.18,9.72,0.42,13.9,0.0740636674183281,0.0396682968124543,0.211340087787922,0.210911954790814,-0.0953959086130906,G.Nut
94,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.28,0.12,0.19,13.05,62.0,705.0,65.0,3.56,0.45,0.23,4.4,0.44,8.16,0.0740636674183281,0.0396682968124543,0.211340087787922,0.210911954790814,-0.0953959086130906,G.Nut
95,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,6.37,0.1,0.13,1.58,60.0,742.0,268.0,3.23,0.29,0.24,4.02,0.7,9.92,0.0737619254035317,0.0389998395783394,0.210483022597251,0.2122037528371614,-0.095924144674743,Horsegram
96,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,6.3,0.09,0.14,1.38,69.0,655.0,240.0,2.54,0.24,0.21,4.49,0.56,8.19,0.0740636674183281,0.0396682968124543,0.211340087787922,0.210911954790814,-0.0953959086130906,G.Nut
97,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.54,0.15,0.06,2.02,49.0,3182.0,117.0,3.62,0.15,0.26,2.66,0.36,1.84,0.0667791924349991,0.0354850671381145,0.2039063120580444,0.1833415151553798,-0.0839728983682757,Horsegram
98,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.77,0.24,0.18,3.48,80.0,2964.0,157.0,5.72,0.23,0.52,2.89,0.61,4.28,0.0667791924349991,0.0354850671381145,0.2039063120580444,0.1833415151553798,-0.0839728983682757,G.Nut
