,Latitude,Longitude,District,Mandal,Village,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop
33,14.13,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.57,0.16,1.41,14.39,93.0,2642.0,426.0,7.75,0.53,1.01,9.1,0.71,2.94,G.Nut
34,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,9.02,0.44,0.56,8.78,117.0,2374.0,684.0,23.96,1.05,1.07,9.75,1.32,2.89,G.Nut
35,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,7.9,0.19,0.88,19.0,265.0,1925.0,444.0,8.36,0.97,1.13,2.48,1.2,10.55,G.Nut
36,14.11,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.71,0.35,0.32,3.61,84.0,1524.0,542.0,14.71,0.36,0.86,2.59,0.62,5.99,G.Nut
37,14.11,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,7.48,1.59,0.36,7.67,117.0,1398.0,244.0,81.35,0.55,0.43,2.53,0.52,11.4,G.Nut
38,14.11,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,5.2,0.09,0.16,16.32,103.0,166.0,35.0,5.03,0.42,0.25,9.67,0.37,8.03,G.Nut
39,14.12,77.64,Anantapur,Penukonda,Kondampalli,Redsoil,8.65,0.41,0.7,9.47,76.0,2380.0,711.0,26.26,1.06,1.11,7.15,0.79,3.53,G.Nut
40,14.12,77.64,Anantapur,Penukonda,Kondampalli,Redsoil,8.05,0.11,0.19,3.62,53.0,2915.0,124.0,3.44,0.49,0.29,1.34,0.34,1.86,G.Nut
41,14.13,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,6.2,0.04,0.15,2.66,76.0,384.0,86.0,2.31,0.29,0.23,4.16,0.51,6.77,G.Nut
42,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.01,0.06,0.25,6.79,59.0,1150.0,158.0,2.3,0.28,0.36,4.18,0.48,3.67,G.Nut
43,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.5,0.16,0.39,7.22,70.0,1414.0,198.0,6.39,0.6,0.41,6.89,0.41,3.29,G.Nut
44,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.2,0.53,0.61,8.55,149.0,2693.0,590.0,38.65,0.58,0.91,7.88,1.0,4.36,G.Nut
45,14.12,77.64,Anantapur,Penukonda,Kondampalli,Redsoil,8.82,0.8,0.47,6.75,106.0,2108.0,655.0,83.3,0.29,1.42,5.24,0.74,1.83,G.Nut
46,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,6.5,0.05,0.22,4.19,108.0,517.0,98.0,3.02,0.32,0.36,4.74,0.45,5.84,G.Nut
47,14.13,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.78,0.5,0.48,3.69,123.0,2244.0,607.0,30.73,0.31,1.33,5.39,0.84,1.82,G.Nut
48,14.13,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.81,0.52,0.5,4.01,129.0,2619.0,702.0,36.22,0.35,1.37,7.25,0.97,1.92,G.Nut
49,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.07,0.5,0.91,28.68,140.0,2129.0,355.0,18.47,2.85,1.22,2.33,0.52,4.47,G.Nut
50,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.25,0.24,0.66,6.31,116.0,2894.0,566.0,14.7,0.46,1.02,16.77,1.17,4.12,G.Nut
51,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.0,0.65,0.41,13.32,89.0,1740.0,201.0,62.96,0.51,0.88,2.88,0.4,8.17,G.Nut
52,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.32,0.15,0.49,9.39,145.0,3009.0,466.0,4.64,0.3,0.74,11.14,1.17,3.65,G.Nut
53,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.44,0.07,0.17,3.51,37.0,831.0,130.0,2.25,0.13,0.25,3.1,0.2,6.99,G.Nut
54,14.12,77.65,Anantapur,Penukonda,Kondampalli,Redsoil,8.22,1.32,0.53,4.74,82.0,4097.0,1135.0,93.97,0.4,1.0,9.41,1.13,1.84,G.Nut
55,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.35,0.53,0.34,5.15,114.0,3283.0,354.0,40.19,0.5,0.59,27.92,1.87,7.33,G.Nut
56,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.19,1.61,0.5,132.06,193.0,3104.0,1179.0,181.16,0.67,0.94,19.59,1.73,9.52,G.Nut
57,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.15,0.07,0.18,10.31,83.0,489.0,63.0,5.13,0.44,0.29,6.94,0.55,14.91,G.Nut
58,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,6.0,0.08,0.08,3.54,43.0,536.0,114.0,4.03,0.19,0.28,6.59,0.47,11.16,G.Nut
