,Latitude,Longitude,District,Mandal,Village,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop
1385,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.27,1.41,0.56,23.11,255.0,2284.0,678.0,86.88,1.24,2.31,35.6,2.67,21.28,Sunflower
1386,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.12,1.38,0.7,22.34,234.0,2367.0,681.0,66.58,1.19,2.67,21.41,2.34,25.28,Paddy
1387,14.98,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,7.98,1.55,0.8,30.82,173.0,2531.0,738.0,57.06,1.34,2.99,7.84,2.07,29.47,Paddy
1388,14.97,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.48,0.6,0.37,2.64,109.0,2788.0,792.0,33.45,0.49,1.47,12.18,2.23,12.95,Paddy
1389,14.97,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.13,1.01,0.52,4.47,106.0,2743.0,557.0,20.06,1.47,1.36,6.22,1.39,29.33,Jowar
1390,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.04,0.63,1.02,35.9,201.0,2577.0,563.0,23.4,2.78,2.24,6.84,1.78,17.21,Jowar
1391,14.97,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.42,0.38,0.66,12.15,163.0,2451.0,579.0,14.11,1.03,2.02,4.63,1.39,15.7,Paddy
1392,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.55,0.34,0.58,9.04,150.0,2457.0,570.0,11.47,1.05,1.74,4.11,1.3,10.29,Jowar
1393,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.66,0.47,0.23,1.76,79.0,2140.0,524.0,13.69,0.23,1.39,7.54,1.23,10.64,Paddy
1394,14.97,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,7.9,0.29,0.28,1.85,79.0,1186.0,443.0,8.21,0.37,0.67,9.38,1.55,19.35,Paddy
1395,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.3,0.42,0.66,12.73,135.0,2929.0,673.0,24.27,1.11,1.9,41.76,2.58,9.3,Paddy
1396,14.97,79.02,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,6.35,1.75,0.46,15.89,103.0,1261.0,399.0,73.98,0.64,0.93,9.3,1.06,68.09,Maize
1397,14.97,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.5,1.0,0.77,19.01,718.0,2331.0,774.0,38.85,1.16,1.66,7.88,1.91,37.82,Bajra
1398,14.97,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.41,0.48,0.74,9.2,136.0,2851.0,763.0,15.4,1.53,1.59,8.02,1.74,18.1,Bajra
1399,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,7.9,2.15,0.89,40.5,305.0,2744.0,629.0,60.04,1.83,2.45,35.84,2.69,17.0,Maize
1400,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.16,1.41,0.78,22.59,159.0,2553.0,641.0,33.07,1.67,1.81,21.61,1.98,15.21,Maize
1401,14.96,79.03,Kadapa,Porumamilla,Chinnaypalli (Siddavaram),Red,8.14,1.25,0.53,11.71,167.0,2720.0,765.0,32.9,0.43,1.65,12.14,1.74,11.53,Turmaric
1402,14.85,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.6,0.23,0.3,7.6,85.0,1742.0,288.0,5.47,0.38,1.15,5.38,0.98,7.28,Paddy
1403,14.83,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.31,0.24,0.17,5.0,70.0,937.0,217.0,10.55,0.24,0.79,2.74,0.62,7.69,Paddy
1404,14.84,79.05,Kadapa,Porumamilla,Ganugapenta,Red,8.35,0.36,0.53,4.6,177.0,1558.0,105.0,15.02,0.43,1.33,3.71,0.52,9.93,Paddy
1405,14.84,79.05,Kadapa,Porumamilla,Ganugapenta,Red,8.55,0.58,0.29,24.47,161.0,1563.0,118.0,11.26,0.6,1.93,35.0,1.17,5.09,Paddy
1406,14.84,79.05,Kadapa,Porumamilla,Ganugapenta,Red,8.25,1.33,0.4,23.14,113.0,1712.0,423.0,23.32,0.75,2.29,37.41,2.12,10.32,Paddy
1407,14.83,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.14,0.31,0.51,10.43,228.0,2691.0,342.0,12.85,0.82,1.2,4.35,1.74,22.74,Cotton
1408,14.85,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.4,0.22,0.3,14.53,103.0,1656.0,229.0,5.7,0.69,1.01,6.49,0.76,5.9,Cotton
1409,14.85,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.35,1.62,0.46,32.1,87.0,1530.0,500.0,44.03,1.04,3.04,32.87,2.18,4.78,Cotton
1410,14.84,79.05,Kadapa,Porumamilla,Ganugapenta,Red,8.1,0.25,0.41,5.95,120.0,797.0,138.0,8.45,0.55,1.06,3.6,0.74,13.28,Paddy
1411,14.84,79.08,Kadapa,Porumamilla,Ganugapenta,Red,8.3,0.22,0.36,14.06,103.0,1466.0,193.0,6.05,0.4,1.0,6.24,0.72,5.45,Cotton
1412,14.86,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.1,1.22,0.35,12.23,70.0,1497.0,310.0,22.65,0.36,2.12,23.05,0.98,5.46,Paddy
1413,14.84,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.7,1.56,0.3,11.0,131.0,1738.0,306.0,89.33,0.63,2.14,22.63,1.85,11.74,Cotton
1414,14.84,79.05,Kadapa,Porumamilla,Ganugapenta,Red,7.85,0.47,0.4,25.68,54.0,869.0,267.0,11.48,1.07,0.9,35.78,1.09,2.27,Paddy
1415,14.84,79.06,Kadapa,Porumamilla,Ganugapenta,Red,9.55,2.55,0.34,22.13,126.0,1039.0,197.0,81.24,0.86,3.69,44.12,2.32,12.48,Cotton
1416,14.84,79.08,Kadapa,Porumamilla,Ganugapenta,Red,8.5,1.14,0.4,25.59,93.0,1704.0,356.0,11.46,0.59,1.72,17.61,1.35,8.15,Paddy
1417,14.84,79.05,Kadapa,Porumamilla,Ganugapenta,Red,8.45,0.51,0.55,32.36,79.0,1287.0,284.0,15.24,0.99,1.81,20.41,1.28,7.34,Cotton
1418,14.86,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.2,1.63,0.37,17.81,94.0,1703.0,353.0,24.91,0.4,1.73,9.54,0.93,9.65,Paddy
1419,14.84,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.15,0.22,0.29,4.55,141.0,1289.0,250.0,5.89,0.34,0.83,3.43,1.15,20.03,Cotton
1420,14.83,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.15,0.32,0.28,13.08,177.0,998.0,136.0,9.36,0.7,0.71,4.99,1.37,23.29,Paddy
1421,14.84,79.05,Kadapa,Porumamilla,Ganugapenta,Red,8.4,0.68,0.5,36.75,76.0,1236.0,270.0,18.35,1.24,1.82,26.95,1.5,4.44,Cotton
1422,14.84,79.07,Kadapa,Porumamilla,Ganugapenta,Red,8.01,0.58,0.42,17.33,124.0,1679.0,352.0,7.33,0.47,1.29,3.44,0.81,17.29,Paddy
1423,14.84,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.37,0.8,0.47,16.44,128.0,2110.0,497.0,43.52,1.19,2.3,21.38,1.89,21.16,Cotton
1424,14.84,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.21,0.11,0.32,22.37,76.0,2154.0,276.0,2.8,0.54,0.52,4.57,1.44,6.41,Paddy
1425,14.84,79.06,Kadapa,Porumamilla,Ganugapenta,Red,8.34,0.28,0.35,19.86,101.0,1723.0,391.0,7.93,0.55,1.43,11.0,1.19,15.17,Paddy
1426,14.84,79.05,Kadapa,Porumamilla,Ganugapenta,Red,8.5,0.22,0.4,7.07,126.0,2932.0,376.0,10.16,0.41,0.98,9.75,2.0,12.8,Paddy
1427,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.25,0.29,0.32,4.09,169.0,2873.0,366.0,5.83,0.36,0.66,4.4,1.13,19.34,Paddy
1428,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,7.5,0.17,0.2,3.38,167.0,1011.0,132.0,7.91,0.28,0.44,3.53,0.89,13.95,Paddy
1429,14.85,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.76,0.79,0.36,12.13,90.0,2236.0,415.0,12.76,0.68,2.24,5.86,1.44,11.72,Paddy
1430,14.85,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.52,0.81,0.52,19.65,94.0,1746.0,466.0,25.6,1.01,2.42,41.6,2.03,7.66,Paddy
1431,14.85,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.06,1.76,0.36,20.05,123.0,1710.0,481.0,37.9,0.65,2.0,22.57,1.63,16.51,Paddy
1432,14.86,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.46,0.51,0.56,21.81,97.0,1988.0,476.0,8.22,0.87,1.73,28.9,1.8,8.38,Paddy
1433,14.85,79.08,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.4,0.15,0.15,1.97,89.0,2696.0,256.0,2.0,0.31,0.38,4.05,1.7,11.83,Paddy
1434,14.86,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.75,0.27,0.33,7.16,171.0,1934.0,313.0,10.7,0.44,1.3,5.58,0.8,8.35,Paddy
1435,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,7.81,0.08,0.17,1.06,64.0,762.0,154.0,3.03,0.25,0.49,4.34,0.88,11.82,Cotton
1436,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,6.05,0.13,0.22,1.6,71.0,776.0,173.0,5.2,0.27,0.3,14.41,1.1,22.62,Paddy
1437,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.3,0.15,0.22,1.31,76.0,2647.0,176.0,2.19,0.29,0.36,3.78,1.61,10.61,Paddy
1438,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.07,0.12,0.22,1.28,114.0,2446.0,233.0,2.82,0.31,0.35,3.98,1.18,12.8,Paddy
1439,14.85,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.05,1.11,0.47,13.28,123.0,1996.0,460.0,25.86,2.58,2.54,25.29,1.9,8.14,Cotton
1440,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,6.37,0.09,0.18,1.68,70.0,772.0,171.0,3.24,0.48,0.28,15.16,1.78,25.35,Cotton
1441,14.85,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,7.31,0.1,0.25,1.53,90.0,696.0,159.0,3.98,0.42,0.46,5.87,1.11,12.89,Cotton
1442,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,7.7,0.36,0.36,32.09,138.0,990.0,213.0,10.44,0.96,0.67,11.39,1.39,11.28,Paddy
1443,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,7.32,0.1,0.4,1.78,55.0,1260.0,131.0,6.66,0.37,0.69,5.68,1.07,12.09,Cotton
1444,14.85,79.07,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,6.58,0.05,0.23,1.36,93.0,442.0,113.0,3.65,0.24,0.33,8.94,0.77,26.46,Paddy
1445,14.85,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.46,0.42,0.43,13.75,119.0,2211.0,374.0,9.15,0.48,1.65,8.66,1.32,13.12,Paddy
1446,14.85,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,7.9,1.66,0.34,7.41,69.0,1509.0,405.0,25.74,0.61,1.92,15.7,1.25,12.23,Paddy
1447,14.87,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.4,0.86,0.52,39.1,93.0,1783.0,445.0,27.27,0.79,2.09,24.5,1.58,8.04,Cotton
1448,14.87,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.17,1.61,0.44,20.99,123.0,1948.0,422.0,34.77,2.58,2.22,23.58,1.59,19.17,Cotton
1449,14.87,79.06,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.32,0.55,0.52,20.8,67.0,1624.0,379.0,24.27,0.75,1.82,40.94,1.69,7.45,Cotton
1450,14.86,79.05,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,9.89,1.57,0.17,11.51,79.0,1239.0,81.0,87.34,0.3,1.93,12.29,1.44,12.97,Paddy
1451,14.87,79.05,Kadapa,Porumamilla,Repalle (Ganugapenta),Red,8.62,0.18,0.28,5.1,63.0,1470.0,235.0,4.05,0.23,1.05,5.38,0.68,7.57,Cotton
1452,14.88,79.05,Kadapa,Porumamilla,Venkata Ramapuram,Sandy,8.41,0.62,0.5,19.88,210.0,2150.0,291.0,56.26,1.24,1.07,29.82,2.14,11.58,Paddy
1453,14.88,79.05,Kadapa,Porumamilla,Venkata Ramapuram,Black,8.35,0.24,0.52,19.41,126.0,1977.0,410.0,7.41,1.0,1.3,9.98,1.41,21.73,Paddy
1454,14.88,79.05,Kadapa,Porumamilla,Venkata Ramapuram,Black,8.31,0.33,0.55,22.69,139.0,2245.0,444.0,16.32,0.79,1.24,9.47,1.64,19.82,Paddy
1455,14.88,79.05,Kadapa,Porumamilla,Venkata Ramapuram,Black,8.16,0.17,0.34,4.5,162.0,2060.0,502.0,10.11,0.29,0.89,14.92,1.77,10.8,Paddy
1456,14.89,79.06,Kadapa,Porumamilla,Venkata Ramapuram,Black,8.4,0.34,0.32,6.43,139.0,2124.0,514.0,17.07,0.35,1.01,12.62,1.47,10.07,Paddy
1457,14.88,79.05,Kadapa,Porumamilla,Venkata Ramapuram,Black,7.84,0.35,0.49,14.67,137.0,2260.0,351.0,17.74,0.65,1.03,19.11,2.31,28.44,Paddy
1458,14.89,79.06,Kadapa,Porumamilla,Venkata Ramapuram,Black,8.41,0.41,0.44,11.05,116.0,3063.0,442.0,7.27,0.56,1.55,10.96,1.42,10.14,Paddy
1459,14.89,79.06,Kadapa,Porumamilla,Venkata Ramapuram,Black,8.27,0.6,0.38,8.12,88.0,2827.0,331.0,8.56,0.41,1.43,8.41,1.18,11.97,Paddy
1460,14.88,79.05,Kadapa,Porumamilla,Venkata Ramapuram,Black,8.8,0.64,0.38,12.53,106.0,2543.0,466.0,21.51,0.41,1.44,19.06,2.19,14.88,Paddy
1461,14.89,79.06,Kadapa,Porumamilla,Venkata Ramapuram,Black,8.48,0.49,0.12,2.27,77.0,1843.0,166.0,18.22,0.2,0.43,3.24,0.41,8.39,Paddy
1462,13.94,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,8.18,0.07,0.27,5.44,72.0,804.0,290.0,1.12,0.31,0.32,3.18,0.7,7.05,Groundnut
1463,13.94,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,7.89,0.08,0.47,20.76,114.0,598.0,204.0,2.53,0.86,0.37,3.77,0.41,5.28,Groundnut
1464,13.94,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,7.16,0.08,0.38,10.73,181.0,574.0,209.0,2.48,1.85,0.25,5.42,0.71,5.18,Groundnut
1465,13.94,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,5.15,0.13,0.32,17.27,185.0,286.0,97.0,5.47,1.11,0.16,28.29,1.25,15.15,Groundnut
1466,13.94,78.84,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,8.16,0.1,0.69,11.97,134.0,1825.0,504.0,4.41,0.26,0.86,10.23,1.31,1.56,Groundnut
1467,13.93,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,6.55,0.07,0.39,13.73,129.0,511.0,199.0,2.49,0.66,0.24,7.94,0.31,6.1,Groundnut
1468,13.92,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,6.6,0.07,0.22,10.64,110.0,294.0,96.0,2.83,1.01,0.08,9.24,0.68,5.88,Groundnut
1469,13.92,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,6.2,0.04,0.25,6.42,61.0,326.0,107.0,1.59,0.86,0.13,7.47,0.37,5.09,Groundnut
1470,13.93,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,6.42,0.06,0.35,3.07,67.0,827.0,494.0,2.89,0.32,0.21,9.28,0.99,9.93,Groundnut
1471,13.93,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,6.98,0.06,0.55,4.34,69.0,663.0,268.0,3.47,0.33,0.68,20.1,0.56,8.25,Groundnut
1472,13.93,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,6.07,0.04,0.35,3.84,66.0,432.0,181.0,2.15,0.31,0.23,22.99,0.62,11.72,Groundnut
1473,13.92,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,8.45,0.12,0.48,13.34,165.0,1164.0,444.0,2.22,0.57,0.16,2.67,0.92,3.72,Groundnut
1474,13.94,78.84,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,8.35,0.15,0.65,29.19,68.0,1799.0,562.0,4.08,0.64,0.83,4.93,1.17,6.82,Groundnut
1475,13.94,78.82,Kadapa,Sambepalli,Chinnabidiki (Settipalli),Red,6.53,0.08,0.15,5.7,49.0,367.0,132.0,2.67,0.37,0.23,8.77,0.68,9.94,Groundnut
1476,14.57,79.37,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,9.68,1.12,0.42,8.32,177.0,2517.0,308.0,43.7,0.61,3.29,8.51,1.38,21.28,Groundnut
1477,14.57,79.37,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,6.5,0.04,0.06,5.04,27.0,310.0,122.0,2.06,0.28,0.04,10.6,0.79,7.8,Redgram
1478,14.57,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,8.39,0.1,0.07,3.54,22.0,745.0,164.0,1.1,0.11,0.08,3.36,0.39,1.59,Groundnut
1479,14.57,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,5.58,0.03,0.09,1.42,18.0,224.0,80.0,1.19,0.1,0.15,7.43,0.42,3.5,Groundnut
1480,14.58,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,8.37,0.1,0.14,4.85,84.0,1518.0,176.0,0.73,0.18,0.21,3.23,0.44,3.92,Groundnut
1481,14.58,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,8.35,0.1,0.18,7.74,49.0,1342.0,189.0,1.02,0.27,0.14,3.56,0.9,3.71,Groundnut
1482,14.57,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,8.4,0.1,0.16,9.11,51.0,1669.0,264.0,1.35,0.17,0.21,3.77,0.54,2.72,Groundnut
1483,14.58,79.38,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,7.25,0.05,0.24,8.06,41.0,717.0,226.0,1.36,0.22,0.22,5.71,0.5,4.55,Groundnut
1484,14.58,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,8.25,0.05,0.02,7.76,18.0,232.0,109.0,1.1,0.34,0.14,3.75,0.35,3.29,Groundnut
1485,14.59,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,6.32,0.09,0.31,8.39,104.0,392.0,160.0,2.35,0.63,0.26,11.04,0.57,10.46,Groundnut
1486,14.58,79.38,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,7.95,0.06,0.13,4.45,52.0,572.0,110.0,0.82,0.17,0.13,2.9,0.43,3.77,Groundnut
1487,14.57,79.37,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,6.05,0.05,0.09,6.79,32.0,181.0,75.0,1.95,0.34,0.03,7.21,0.33,6.19,Groundnut
1488,14.57,79.37,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,5.58,0.03,0.13,4.85,29.0,312.0,93.0,2.34,0.24,0.13,15.07,0.59,8.03,Groundnut
1489,14.6,79.38,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,7.29,0.09,0.72,18.32,227.0,783.0,208.0,3.36,0.62,0.68,3.92,0.44,4.84,Groundnut
1490,14.58,79.37,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,7.86,0.06,0.34,13.21,97.0,1312.0,208.0,2.14,0.32,0.37,4.07,0.47,4.09,Redgram
1491,14.58,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,5.6,0.03,0.14,19.73,29.0,248.0,47.0,1.41,0.33,0.08,14.59,0.38,4.15,Groundnut
1492,14.59,79.37,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,7.6,0.06,0.31,13.56,72.0,707.0,262.0,1.28,0.48,0.26,4.29,0.44,6.13,Redgram
1493,14.6,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,5.95,0.05,0.31,5.78,74.0,366.0,121.0,1.6,0.55,0.13,10.49,0.46,8.88,Groundnut
1494,14.58,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,5.66,0.04,0.18,4.89,56.0,271.0,99.0,1.7,0.33,0.11,15.13,0.48,10.66,Redgram
1495,14.58,79.37,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,6.75,0.1,0.4,11.81,175.0,687.0,210.0,4.1,0.4,0.2,5.86,0.58,7.59,Groundnut
1496,14.59,79.38,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,7.75,0.09,0.37,9.38,80.0,1015.0,340.0,2.4,0.96,0.35,4.46,0.56,5.03,Groundnut
1497,14.59,79.38,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,7.02,0.08,0.33,14.47,140.0,379.0,139.0,2.81,1.02,0.26,6.79,0.43,6.03,Groundnut
1498,14.59,79.37,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,6.9,0.05,0.27,3.79,73.0,798.0,178.0,2.27,0.25,0.28,4.7,0.59,6.33,Groundnut
1499,14.58,79.38,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,6.86,0.02,0.2,3.19,36.0,575.0,173.0,0.79,0.21,0.14,6.44,0.53,6.43,Groundnut
1500,14.6,79.39,Kadapa,Sambepalli,Chinnajangampalli (Settipalli),Red,7.9,0.06,0.11,12.17,31.0,508.0,159.0,1.33,0.3,0.24,3.71,0.47,2.04,Groundnut
1501,14.58,79.37,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.03,0.64,0.78,36.1,193.0,2793.0,319.0,46.09,0.96,1.94,24.08,1.91,16.36,Tomato
1502,14.59,79.36,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.32,1.03,0.92,38.8,263.0,2580.0,394.0,88.7,1.01,3.23,27.8,2.4,18.48,Groundnut
1503,14.57,79.37,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.0,0.83,1.03,49.74,426.0,2883.0,413.0,61.8,1.28,2.33,21.78,1.9,17.8,Tomato
1504,14.59,79.36,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.15,0.71,0.69,22.07,228.0,2906.0,384.0,73.38,0.9,1.65,17.8,1.99,26.41,Groundnut
1505,14.58,79.36,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.01,0.63,0.9,16.39,279.0,2554.0,479.0,39.4,0.71,1.67,16.36,1.46,20.98,Groundnut
1506,14.59,79.37,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.12,0.43,0.29,15.69,192.0,2468.0,299.0,13.12,0.77,1.76,6.46,0.97,15.56,Groundnut
1507,14.59,79.36,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.73,0.35,0.31,5.6,76.0,2005.0,307.0,10.93,0.83,1.42,25.54,1.33,28.39,Light Black
1508,14.59,79.35,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.83,0.41,0.19,3.09,137.0,2833.0,659.0,40.16,0.47,1.39,8.6,1.3,14.57,Groundnut
1509,14.55,79.36,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.85,0.47,0.4,11.83,105.0,2302.0,426.0,33.05,1.13,1.73,58.19,1.84,30.1,Groundnut
1510,14.58,79.36,Kadapa,Sambepalli,Gandlapadu (Settipalli),Red,8.52,0.41,0.59,18.13,142.0,2648.0,380.0,25.99,0.75,1.55,25.97,1.93,18.49,Tomato
1511,13.88,78.79,Kadapa,Sambepalli,Guttapalli,Red,6.64,0.07,0.24,50.6,101.0,496.0,166.0,2.73,1.86,0.33,10.28,1.08,11.13,Tomato
1512,13.86,78.78,Kadapa,Sambepalli,Guttapalli,Red,6.9,0.07,0.12,30.35,48.0,736.0,119.0,3.14,1.26,0.41,3.42,0.55,5.45,Tomato
1513,13.86,78.78,Kadapa,Sambepalli,Guttapalli,Red,6.88,0.07,0.12,22.61,51.0,843.0,131.0,2.82,0.43,0.36,4.18,0.57,6.4,Groundnut
1514,13.88,78.79,Kadapa,Sambepalli,Guttapalli,Red,6.95,0.07,0.18,29.52,53.0,874.0,138.0,3.68,0.53,0.49,4.38,0.59,7.23,Tomato
1515,13.88,78.79,Kadapa,Sambepalli,Guttapalli,Red,7.3,0.06,0.19,19.3,99.0,507.0,130.0,1.55,0.68,0.31,9.69,0.67,7.03,Groundnut
1516,13.89,78.79,Kadapa,Sambepalli,Guttapalli,Red,6.85,0.05,0.2,26.94,74.0,735.0,195.0,2.24,0.73,0.3,8.58,0.83,6.08,Groundnut
1517,13.88,78.79,Kadapa,Sambepalli,Guttapalli,Red,7.3,0.07,0.37,20.08,87.0,876.0,224.0,2.52,1.12,0.35,4.74,1.19,6.99,Groundnut
1518,13.88,78.79,Kadapa,Sambepalli,Guttapalli,Red,7.45,0.08,0.46,16.93,131.0,1061.0,262.0,4.1,0.64,0.58,2.67,0.76,5.86,Groundnut
1519,13.89,78.79,Kadapa,Sambepalli,Guttapalli,Red,7.78,0.14,0.59,52.25,142.0,1901.0,337.0,7.48,1.22,0.9,3.3,1.2,10.36,Tomato
1520,13.88,78.79,Kadapa,Sambepalli,Guttapalli,Red,5.85,0.03,0.23,13.07,88.0,418.0,134.0,2.01,0.81,0.34,13.09,0.44,9.51,Groundnut
1521,13.86,78.78,Kadapa,Sambepalli,Guttapalli,Red,5.92,0.02,0.21,8.62,107.0,373.0,111.0,1.47,0.57,0.25,13.16,0.64,10.35,Groundnut
1522,13.88,78.79,Kadapa,Sambepalli,Guttapalli,Red,5.6,0.05,0.22,7.06,81.0,402.0,124.0,6.31,0.74,0.21,14.65,0.67,12.11,Tomato
1523,13.86,78.78,Kadapa,Sambepalli,Guttapalli,Red,8.21,0.09,0.27,11.39,89.0,2751.0,331.0,2.36,0.34,0.42,3.93,1.3,5.08,Tomato
1524,13.87,78.77,Kadapa,Sambepalli,Guttapalli,Red,7.02,0.12,0.76,86.82,261.0,1743.0,580.0,7.42,4.17,1.16,41.0,2.93,22.18,Tomato
1525,13.88,78.79,Kadapa,Sambepalli,Guttapalli,Red,7.27,0.09,0.35,34.98,128.0,585.0,187.0,4.35,1.82,0.5,4.09,1.08,7.45,Tomato
1526,13.86,78.78,Kadapa,Sambepalli,Guttapalli,Red,7.36,0.05,0.09,21.0,62.0,447.0,159.0,2.07,0.44,0.22,3.73,0.61,6.89,Tomato
1527,13.87,78.77,Kadapa,Sambepalli,Guttapalli,Red,5.95,0.02,0.15,7.83,69.0,368.0,107.0,1.24,0.41,0.13,10.72,0.57,12.33,Tomato
