iter	MultiClass
0	1.335047677
1	1.288685283
2	1.249520475
3	1.213185443
4	1.179538526
5	1.149340966
6	1.12423488
7	1.095800547
8	1.068204962
9	1.042793497
10	1.019534787
11	0.9974666079
12	0.9725781565
13	0.9524403433
14	0.9361153604
15	0.9129617049
16	0.8952499354
17	0.8785112628
18	0.8621612353
19	0.8496211519
20	0.8384304278
21	0.8226201396
22	0.8086476758
23	0.7957954824
24	0.7805676371
25	0.7685602981
26	0.7574151053
27	0.7461731743
28	0.7351723973
29	0.7216769636
30	0.7118087886
31	0.7049678473
32	0.6949939039
33	0.6874014368
34	0.6779913333
35	0.6703746517
36	0.6616322897
37	0.656555372
38	0.6482550279
39	0.6416375078
40	0.634592337
41	0.6280976673
42	0.6220631344
43	0.6153636517
44	0.6073621989
45	0.5992373171
46	0.5918906712
47	0.5867715501
48	0.5806230667
49	0.5738702298
50	0.5714768342
51	0.5665488689
52	0.5621024211
53	0.5575349174
54	0.5516354462
55	0.5471869411
56	0.5412364908
57	0.5389882667
58	0.5363010452
59	0.5325212589
60	0.5272028837
61	0.5236360617
62	0.5197520362
63	0.5151360911
64	0.512574083
65	0.5098187606
66	0.5077519819
67	0.5050414641
68	0.5018780646
69	0.4985205727
70	0.4944426369
71	0.4911351443
72	0.4888741797
73	0.4875385864
74	0.4851060357
75	0.4825455441
76	0.4801842168
77	0.4778321726
78	0.4760223784
79	0.4743223502
80	0.4729536181
81	0.4703008446
82	0.4695965128
83	0.4676249071
84	0.4657114741
85	0.4642044226
86	0.4614469837
87	0.4591304601
88	0.4558002992
89	0.4547757964
90	0.4529169236
91	0.4521105891
92	0.4496456311
93	0.4485582968
94	0.4462417237
95	0.4441882289
96	0.4416443625
97	0.4396508235
98	0.4386691405
99	0.437665433
