iter	MultiClass
0	1.338030881
1	1.299765865
2	1.260872265
3	1.218568752
4	1.186913953
5	1.155573798
6	1.129553198
7	1.096182243
8	1.069224373
9	1.044909564
10	1.017600355
11	0.9948098785
12	0.9715096041
13	0.9512254193
14	0.9346056952
15	0.9134932926
16	0.8935158355
17	0.877458154
18	0.8590685188
19	0.8443792777
20	0.8298043057
21	0.8167321317
22	0.8036378589
23	0.7898270429
24	0.7781245896
25	0.764182461
26	0.7530988849
27	0.7426564526
28	0.7329617419
29	0.7220316213
30	0.7100193959
31	0.701435697
32	0.6924571137
33	0.6838805913
34	0.6737700379
35	0.6642530748
36	0.6547903081
37	0.6457202208
38	0.6394885377
39	0.6307587357
40	0.62419808
41	0.6181927864
42	0.6124231726
43	0.6053744445
44	0.5987735572
45	0.5933844436
46	0.5889319237
47	0.5850424321
48	0.5809474109
49	0.5756858505
50	0.5713090544
51	0.5666132629
52	0.5613559577
53	0.5558177013
54	0.5514350239
55	0.5466678086
56	0.5423864697
57	0.5384301895
58	0.5352452113
59	0.533183675
60	0.5302215362
61	0.5272377637
62	0.5223343689
63	0.5176041941
64	0.5141008118
65	0.5105473351
66	0.5080495615
67	0.5045514816
68	0.5018166456
69	0.4980098256
70	0.4940435697
71	0.4909123943
72	0.487742949
73	0.4842141937
74	0.4808377719
75	0.4774878138
76	0.4748577246
77	0.4716131823
78	0.4698128845
79	0.4674023221
80	0.465826242
81	0.4633290265
82	0.4625570723
83	0.4603277488
84	0.4588741677
85	0.4557921788
86	0.4540162339
87	0.4518300001
88	0.4506467887
89	0.4487667213
90	0.446944582
91	0.4440470196
92	0.4427208349
93	0.4411658861
94	0.4401114048
95	0.4380305729
96	0.4368700112
97	0.4354893827
98	0.4336330324
99	0.431493936
