iter	MultiClass
0	1.340494376
1	1.301175004
2	1.262973864
3	1.223525135
4	1.188063378
5	1.158007957
6	1.12792131
7	1.100904504
8	1.071397783
9	1.046854744
10	1.024073195
11	1.003315325
12	0.9798868255
13	0.9608589503
14	0.9420026793
15	0.924751875
16	0.9082812684
17	0.8918101774
18	0.8742357691
19	0.8606578089
20	0.8466788757
21	0.8330559871
22	0.8211586356
23	0.8089550585
24	0.797252725
25	0.7865072117
26	0.7757037583
27	0.7645179015
28	0.752618789
29	0.742027856
30	0.7337740432
31	0.7244471062
32	0.7150523169
33	0.7065194196
34	0.6990397668
35	0.6927858794
36	0.6868194724
37	0.6808436619
38	0.6732618136
39	0.6667080539
40	0.6584513983
41	0.6520881711
42	0.6457517685
43	0.6379814294
44	0.6323467372
45	0.62734658
46	0.6199564272
47	0.6147901044
48	0.609510079
49	0.6024173515
50	0.5959294185
51	0.5925687415
52	0.5880103945
53	0.5832637885
54	0.5775285816
55	0.573323007
56	0.5679428343
57	0.5634870828
58	0.5592757679
59	0.5545340017
60	0.5508339141
61	0.548550894
62	0.5454946113
63	0.543904069
64	0.5403294665
65	0.5376997175
66	0.533668971
67	0.5319359494
68	0.5290457278
69	0.5264816916
70	0.5238678273
71	0.5215135497
72	0.5194300194
73	0.5173015484
74	0.51489171
75	0.5125651272
76	0.5103368035
77	0.508376978
78	0.5070835676
79	0.5038953086
80	0.5018433008
81	0.5008025388
82	0.4988351137
83	0.4958713115
84	0.4943222765
85	0.4918069405
86	0.4893605017
87	0.4865619426
88	0.4844098615
89	0.4837780472
90	0.4820732559
91	0.4807622292
92	0.4783046271
93	0.4757969681
94	0.4738843426
95	0.4717679855
96	0.4711360315
97	0.4690873006
98	0.4680731582
99	0.4676199763
