iter	MultiClass
0	1.340059466
1	1.298614995
2	1.259738086
3	1.226786501
4	1.188036284
5	1.15641574
6	1.126309463
7	1.099733466
8	1.074889091
9	1.05526845
10	1.032944083
11	1.011746213
12	0.9907411157
13	0.9718440444
14	0.9539953569
15	0.9358805423
16	0.9180615455
17	0.9025736973
18	0.8875569385
19	0.8741070321
20	0.8590008097
21	0.846531748
22	0.8316727067
23	0.8198592503
24	0.8090395266
25	0.7945473442
26	0.7835641634
27	0.7728077436
28	0.7623283147
29	0.7530232442
30	0.7420595471
31	0.7343556171
32	0.7255008391
33	0.7172725922
34	0.7077293444
35	0.6972095969
36	0.6871023686
37	0.6832007441
38	0.6762691432
39	0.6715136574
40	0.6660015803
41	0.6593960891
42	0.6515828049
43	0.64496322
44	0.6398230948
45	0.6321345168
46	0.6247296408
47	0.6221650214
48	0.6174945921
49	0.6105802121
50	0.6062277118
51	0.6020379512
52	0.5972299914
53	0.5929436827
54	0.5867992714
55	0.5823175116
56	0.5782264273
57	0.5747270112
58	0.569483308
59	0.5657715913
60	0.5614296485
61	0.5569587312
62	0.5527019114
63	0.5510155477
64	0.5463860997
65	0.5451113376
66	0.5418363115
67	0.5384314693
68	0.535415074
69	0.5343004799
70	0.5310970791
71	0.5285114578
72	0.5259827631
73	0.5236205279
74	0.520665635
75	0.5166815318
76	0.5155931073
77	0.514541959
78	0.5110799764
79	0.5076149464
80	0.5055229459
81	0.5032880816
82	0.5017561368
83	0.499959407
84	0.49841171
85	0.4976241774
86	0.4956359331
87	0.4934486205
88	0.4918689298
89	0.4906424337
90	0.4888724399
91	0.4862266004
92	0.4848653739
93	0.4835275829
94	0.4815870664
95	0.4805482714
96	0.4792505641
97	0.4780987199
98	0.4757245088
99	0.4742014142
